Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.736,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,41,43,0.491,0.288,0.952,0.537,0.512,0.524
HPC,-1.00,45,46,0.970,0.837,0.967,0.511,0.500,0.505
Zookeeper,-1.00,57,50,0.995,0.521,0.916,0.544,0.620,0.579
HealthApp,-1.00,72,75,0.900,0.744,0.939,0.597,0.573,0.585
Android,152.58,151,166,0.863,0.619,0.839,0.550,0.500,0.524
Spark,-1.00,35,36,0.999,0.778,0.958,0.743,0.722,0.732
BGL,-1.00,117,120,0.978,0.883,0.962,0.752,0.733,0.743
Linux,-1.00,111,118,0.752,0.246,0.943,0.577,0.542,0.559
Mac,None,None,None,None,None,None,None,None,None
Thunderbird,-1.00,164,149,0.970,0.390,0.869,0.445,0.490,0.466
Hadoop,-1.00,98,114,0.958,0.153,0.896,0.184,0.158,0.170
Windows,-1.00,49,50,0.696,0.539,0.970,0.633,0.620,0.626
