Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,-1.00,10,8,0.000,0.000,0.000,0.000,0.000,0.000
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,24,27,0.728,0.510,0.824,0.500,0.444,0.471
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,43,43,1.000,0.353,1.000,0.605,0.605,0.605
HPC,-1.00,41,46,0.911,0.550,0.874,0.463,0.413,0.437
Zookeeper,-1.00,52,50,0.989,0.238,0.843,0.423,0.440,0.431
HealthApp,-1.00,72,75,0.900,0.735,0.939,0.486,0.467,0.476
Hadoop,-1.00,98,114,0.958,0.081,0.896,0.184,0.158,0.170
Spark,-1.00,34,36,0.998,0.624,0.914,0.471,0.444,0.457
BGL,-1.00,107,120,0.941,0.806,0.855,0.598,0.533,0.564
Linux,-1.00,110,118,0.752,0.168,0.939,0.464,0.432,0.447
Mac,0.79,291,341,0.717,0.303,0.772,0.344,0.293,0.316
Thunderbird,-1.00,164,149,0.957,0.368,0.837,0.329,0.362,0.345
Hadoop,-1.00,98,114,0.958,0.081,0.896,0.184,0.158,0.170
Windows,-1.00,47,50,0.694,0.019,0.928,0.362,0.340,0.351
