Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.801,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,41,43,0.491,0.371,0.952,0.659,0.628,0.643
HPC,-1.00,45,46,0.970,0.838,0.967,0.556,0.543,0.549
Zookeeper,-1.00,51,50,0.995,0.659,0.970,0.667,0.680,0.673
HealthApp,-1.00,75,75,1.000,0.847,1.000,0.720,0.720,0.720
Android,-1.00,153,166,0.851,0.723,0.796,0.569,0.524,0.545
Spark,-1.00,35,36,0.999,0.779,0.958,0.800,0.778,0.789
BGL,-1.00,118,120,0.983,0.893,0.975,0.780,0.767,0.773
Linux,-1.00,114,118,0.755,0.256,0.974,0.623,0.602,0.612
Mac,0.74,376,341,0.834,0.466,0.879,0.447,0.493,0.469
Thunderbird,-1.00,153,149,0.987,0.396,0.914,0.529,0.544,0.536
Hadoop,-1.00,110,114,0.990,0.155,0.955,0.191,0.184,0.187
Windows,-1.00,50,50,0.692,0.680,0.940,0.720,0.720,0.720
