Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.801,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,41,43,0.491,0.371,0.952,0.659,0.628,0.643
HPC,-1.00,45,46,0.970,0.838,0.967,0.556,0.543,0.549
Zookeeper,-1.00,51,50,0.995,0.659,0.970,0.667,0.680,0.673
HealthApp,-1.00,75,75,1.000,0.851,1.000,0.733,0.733,0.733
Android,-1.00,152,166,0.852,0.735,0.805,0.579,0.530,0.553
Spark,-1.00,35,36,0.999,0.779,0.958,0.800,0.778,0.789
BGL,-1.00,117,120,0.978,0.885,0.962,0.769,0.750,0.759
Linux,-1.00,113,118,0.754,0.255,0.961,0.611,0.585,0.597
Mac,0.98,327,341,0.821,0.364,0.880,0.437,0.419,0.428
Thunderbird,-1.00,159,149,0.981,0.398,0.916,0.535,0.570,0.552
Hadoop,-1.00,111,114,0.991,0.154,0.969,0.180,0.175,0.178
Windows,-1.00,49,50,0.696,0.681,0.970,0.735,0.720,0.727
