dataset,GA,PA,ED,N_ED
HDFS,1.0,0.783,3.8535,0.95776
Hadoop,0.9935,0.95,2.1605,0.97822
Spark,0.944,0.9195,3.2545,0.96347
Zookeeper,0.9945,0.993,0.1255,0.99722
BGL,0.9935,0.8645,2.402,0.93084
HPC,0.9525,0.948,0.5155,0.99468
Thunderbird,0.984,0.917,12.5465,0.96764
Windows,0.996,0.9865,0.653,0.99464
Linux,0.998,0.9265,0.601,0.99057
Android,0.9745,0.8185,11.185,0.95295
HealthApp,1.0,0.9985,0.0275,0.99942
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.9575,0.9565,1.362,0.98837
OpenStack,1.0,0.9745,1.4865,0.98818
Mac,0.843,0.6375,12.906,0.90302
avg,0.9754,0.9116,3.5386,0.9738
