dataset,GA,PA,ED,N_ED
HDFS,1.0,0.9425,0.0575,0.9986
Hadoop,0.9575,0.843,3.031,0.92765
Spark,0.998,0.8055,0.405,0.99014
Zookeeper,0.9885,0.374,3.3065,0.88621
BGL,0.941,0.8695,3.7345,0.95486
HPC,0.911,0.6405,2.853,0.91293
Thunderbird,0.9565,0.8515,2.267,0.95955
Windows,0.694,0.02,17.5835,0.69234
Linux,0.2975,0.3435,5.189,0.90278
Android,0.931,0.4805,10.839,0.88981
HealthApp,0.9005,0.8655,3.337,0.94501
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.7295,0.512,4.4225,0.94062
OpenStack,0.4915,0.4385,4.8885,0.90996
Mac,0.717,0.3995,17.3655,0.81539
avg,0.8342,0.6257,5.2853,0.91506
