dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9575,0.7665,2.1415,0.96559
Spark,0.999,0.981,0.168,0.99763
Zookeeper,0.9945,0.8465,1.513,0.93856
BGL,0.9775,0.9535,2.672,0.98308
HPC,0.9695,0.992,0.094,0.99832
Thunderbird,0.9695,0.8775,1.642,0.96636
Windows,0.6955,0.537,7.8205,0.85102
Linux,0.298,0.418,4.513,0.9238
Android,0.9605,0.6025,9.26,0.91368
HealthApp,0.9005,0.8825,3.2705,0.94698
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.753,0.7395,2.2055,0.97282
OpenStack,1.0,0.8935,3.2135,0.94325
Mac,0.803,0.545,10.5305,0.88479
avg,0.8852,0.8023,3.2696,0.95239
