dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.956,0.848,7.7955,0.93239
Spark,0.999,0.9525,1.1295,0.97886
Zookeeper,0.994,0.4075,2.696,0.9122
BGL,0.886,0.806,4.998,0.93597
HPC,0.9155,0.713,2.2875,0.93717
Thunderbird,0.951,0.82,2.744,0.94605
Windows,0.686,0.2935,17.992,0.68924
Linux,0.2975,0.345,5.4865,0.89711
Android,0.945,0.541,6.063,0.91246
HealthApp,0.9005,0.876,3.3065,0.946
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.7255,0.453,5.974,0.92496
OpenStack,0.4915,0.4385,4.8225,0.91108
Mac,0.6995,0.36,19.223,0.80413
avg,0.8298,0.6569,5.6345,0.91518
