dataset,GA,PA,ED,N_ED
HDFS,1.0,0.9425,1.3225,0.97796
Hadoop,0.988,0.98,0.5975,0.9936
Spark,1.0,0.999,0.0395,0.99947
Zookeeper,0.9945,0.9955,0.0925,0.99835
BGL,0.9985,0.8885,1.743,0.93468
HPC,0.9525,0.9505,0.296,0.99718
Thunderbird,0.9875,0.957,0.338,0.99066
Windows,0.996,0.992,0.212,0.99812
Linux,0.939,0.7405,2.1185,0.97305
Android,0.989,0.966,1.011,0.98849
HealthApp,1.0,0.9945,0.1135,0.99835
Apache,1.0,1.0,0.0,1.0
Proxifier,1.0,1.0,0.0,1.0
OpenSSH,1.0,0.9985,0.007,0.9999
OpenStack,1.0,0.991,0.081,0.99919
Mac,0.839,0.6765,8.9645,0.91452
avg,0.9803,0.942,1.0585,0.98522
