dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.9885,0.886,6.5805,0.95199
Spark,0.9975,0.9705,0.3705,0.98888
Zookeeper,0.9945,0.9875,0.4305,0.99467
BGL,0.991,0.9435,1.8715,0.98795
HPC,0.9525,0.944,0.3455,0.99579
Thunderbird,0.914,0.8555,2.322,0.95146
Windows,1.0,0.6085,12.017,0.79528
Linux,0.995,0.7285,2.3725,0.96889
Android,0.955,0.803,4.2105,0.95813
HealthApp,0.9145,0.909,2.781,0.95835
Apache,1.0,0.978,0.23,0.99616
OpenSSH,1.0,0.9755,1.0385,0.98929
OpenStack,1.0,0.9605,1.1325,0.98881
Mac,0.8295,0.5355,10.7015,0.87886
avg,0.9688,0.8724,3.0936,0.9603
