dataset,GA,PA,ED,N_ED
HDFS,0.96,0.6675,7.3365,0.90476
Hadoop,0.985,0.7135,7.2695,0.8984
Spark,0.944,0.944,2.2465,0.98052
Zookeeper,0.9745,0.9745,0.241,0.99499
BGL,0.9935,0.974,0.4955,0.99644
HPC,0.9525,0.9505,0.296,0.99718
Thunderbird,0.984,0.9215,12.2175,0.97296
Windows,0.995,0.9855,0.918,0.99318
Linux,0.939,0.9845,0.133,0.99659
Android,0.9705,0.825,9.7075,0.96102
HealthApp,0.9195,0.9085,2.6165,0.96046
Apache,1.0,1.0,0.0,1.0
OpenSSH,0.9575,0.9565,1.362,0.98837
OpenStack,1.0,0.953,2.6125,0.97697
Mac,0.8185,0.6335,12.7915,0.89686
avg,0.9596,0.8928,4.0162,0.96791
