Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.801,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,41,43,0.491,0.371,0.952,0.659,0.628,0.643
HPC,-1.00,45,46,0.970,0.839,0.967,0.578,0.565,0.571
Zookeeper,-1.00,51,50,0.995,0.659,0.970,0.667,0.680,0.673
HealthApp,-1.00,75,75,1.000,0.850,1.000,0.707,0.707,0.707
Android,-1.00,153,166,0.861,0.726,0.815,0.569,0.524,0.545
Spark,-1.00,36,36,1.000,0.779,1.000,0.778,0.778,0.778
BGL,-1.00,118,120,0.983,0.893,0.975,0.797,0.783,0.790
Linux,-1.00,113,118,0.754,0.254,0.961,0.602,0.576,0.589
Mac,0.83,325,341,0.797,0.378,0.868,0.434,0.413,0.423
Thunderbird,-1.00,161,149,0.984,0.402,0.890,0.497,0.537,0.516
Hadoop,-1.00,110,114,0.990,0.154,0.955,0.182,0.175,0.179
Windows,-1.00,51,50,0.692,0.677,0.931,0.686,0.700,0.693
