Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,-1.00,6,6,1.000,1.000,1.000,1.000,1.000,1.000
OpenSSH,-1.00,25,27,0.751,0.801,0.885,0.760,0.704,0.731
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000
OpenStack,-1.00,41,43,0.491,0.371,0.952,0.659,0.628,0.643
HPC,-1.00,45,46,0.970,0.839,0.967,0.578,0.565,0.571
Zookeeper,-1.00,50,50,1.000,0.659,1.000,0.680,0.680,0.680
HealthApp,-1.00,74,75,0.998,0.849,0.980,0.703,0.693,0.698
Android,-1.00,155,166,0.855,0.637,0.816,0.568,0.530,0.548
Spark,-1.00,35,36,0.999,0.779,0.958,0.771,0.750,0.761
BGL,-1.00,118,120,0.983,0.892,0.975,0.788,0.775,0.782
Linux,-1.00,111,118,0.752,0.242,0.943,0.604,0.568,0.585
Mac,None,None,None,None,None,None,None,None,None
Thunderbird,-1.00,154,149,0.984,0.395,0.911,0.513,0.530,0.521
Hadoop,-1.00,111,114,0.991,0.154,0.969,0.171,0.167,0.169
Windows,-1.00,49,50,0.696,0.682,0.970,0.755,0.740,0.747
